"sexo","edad_1","escol","cond_act","ing_fam","Tam_loc_bin","medio_principal","dura1_cat","p6","p15_3","victima_delito","usa_tractor"
"Hombre","15 a 24","Universidad/Posgrado","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi siempre","No","No"
"Mujer","45 a 54","Universidad/Posgrado","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Nunca","No","No"
"Hombre","25 a 34","Preparatoria/Bachillerato","No trabaja",,"15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","45 a 54","Universidad/Posgrado","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","No","No"
"Mujer","35 a 44","Secundaria","No trabaja","3-4 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Casi nunca","No","No"
"Mujer","35 a 44","Primaria","No trabaja","4-5 SM","Menos de 15,000 hab.","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Hombre","45 a 54","Preparatoria/Bachillerato","Sí trabaja","2-3 SM","Menos de 15,000 hab.","Público masivo","Largo (>40 min)","Sí","Casi nunca","No","No"
"Mujer","25 a 34","Secundaria","No trabaja","1-2 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Hombre","55 a 64","Primaria","Sí trabaja","2-3 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Nunca","No","No"
"Hombre","15 a 24","Preparatoria/Bachillerato","No trabaja",">5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Nunca","No","No"
"Mujer","15 a 24","Preparatoria/Bachillerato","No trabaja",,"15,000 hab. o más","Automóvil particular","Corto (≤20 min)","Sí","Casi nunca","No","No"
"Mujer","35 a 44","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","25 a 34","Universidad/Posgrado","Sí trabaja",">5 SM","Menos de 15,000 hab.","Público masivo","Largo (>40 min)","Sí","Casi nunca","No","No"
"Mujer","35 a 44","Secundaria","No trabaja","4-5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","45 a 54","Preparatoria/Bachillerato","Sí trabaja","3-4 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Hombre","25 a 34","Universidad/Posgrado","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","65 y más","Primaria","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Casi nunca","No","No"
"Mujer","55 a 64","Primaria","Sí trabaja",,"15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Mujer","35 a 44","Secundaria","No trabaja",">5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Mujer","25 a 34","Preparatoria/Bachillerato","No trabaja","1-2 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Mujer","35 a 44","Secundaria","Sí trabaja","1-2 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Siempre","No","No"
"Hombre","25 a 34","Preparatoria/Bachillerato","Sí trabaja","5-6 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","35 a 44","Secundaria","Sí trabaja",,"15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Nunca","No","No"
"Mujer","55 a 64","Primaria","Sí trabaja",,"15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Nunca","No","No"
"Hombre","15 a 24","Preparatoria/Bachillerato","Sí trabaja","3-4 SM","Menos de 15,000 hab.","No motorizado","Largo (>40 min)","Sí","Siempre","No","No"
"Hombre","15 a 24","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Corto (≤20 min)","Sí","Casi nunca","No","No"
"Hombre","35 a 44","Primaria","Sí trabaja",,"Menos de 15,000 hab.","Público masivo","Medio (21-40 min)","Sí","Casi nunca","Sí","No"
"Hombre","15 a 24","Primaria","Sí trabaja","1-2 SM","Menos de 15,000 hab.","Público masivo","Largo (>40 min)","Sí","Nunca","No","No"
"Hombre","25 a 34","Preparatoria/Bachillerato","Sí trabaja","3-4 SM","Menos de 15,000 hab.","Público masivo","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","25 a 34","Universidad/Posgrado","Sí trabaja",">5 SM","Menos de 15,000 hab.","Automóvil particular","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Mujer","45 a 54","Secundaria","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Nunca","No","No"
"Mujer","35 a 44","Universidad/Posgrado","Sí trabaja",,"15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Nunca","No","No"
"Hombre","35 a 44","Secundaria","Sí trabaja",,"15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Casi nunca","Sí","No"
"Hombre","65 y más","Ninguna","No trabaja",,"15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Nunca","No","No"
